"Date","Time","Group Name","Latitude","Longitude","Altitude","Transect #","Hole Diameter"
"13/07/2016","1:54:05 PM","Tiger","-25.56241917","153.06839984","174.300003051758","15","0"
"13/07/2016","1:54:32 PM","Tiger","-25.56241845","153.06837785","175.300003051758","15","60"
"13/07/2016","1:56:25 PM","Tiger","-25.56243131","153.06836174","174","15","50"
"13/07/2016","1:56:48 PM","Tiger","-25.56243125","153.06836214","174","15","50"
"13/07/2016","2:00:23 PM","Tiger","-25.56247214","153.06835207","173","15","30"
"13/07/2016","2:05:56 PM","Tiger","-25.56257621","153.06831881","169.5","15","40"
"13/07/2016","2:06:28 PM","Tiger","-25.56261103","153.06829751","171","15","50"
"13/07/2016","2:09:00 PM","Tiger","-25.56262162","153.06827855","161","15","35"
"13/07/2016","2:10:57 PM","Tiger","-25.56271514","153.06825322","170.100006103516","15","50"
"13/07/2016","2:14:46 PM","Tiger","-25.56280068","153.0681854","166.899993896484","15","30"
"13/07/2016","2:18:38 PM","Tiger","-25.56292357","153.06821697","174.5","15","50"
"13/07/2016","2:22:04 PM","Tiger","-25.56317036","153.068304","168.5","15","35"
"13/07/2016","2:22:30 PM","Tiger","-25.56319366","153.06830203","170.699996948242","15","30"
"13/07/2016","2:27:39 PM","Tiger","-25.5634416","153.0684171","165.5","15","35"
"13/07/2016","2:30:24 PM","Tiger","-25.56367633","153.06842816","165.600006103516","15","30"
"13/07/2016","2:31:23 PM","Tiger","-25.56376603","153.06833599","165.600006103516","15","30"
"13/07/2016","2:35:44 PM","Tiger","-25.56428432","153.06816104","163.899993896484","15","35"
"13/07/2016","2:36:25 PM","Tiger","-25.56430338","153.06816402","165.5","15","25"
"13/07/2016","2:38:35 PM","Tiger","-25.56452501","153.06818547","165.699996948242","15","35"
"13/07/2016","2:38:50 PM","Tiger","-25.56452683","153.06818498","165.899993896484","15","30"
"13/07/2016","2:39:31 PM","Tiger","-25.56452799","153.06818614","165.199996948242","15","35"
"13/07/2016","2:40:18 PM","Tiger","-25.56463587","153.06819003","154.899993896484","15","25"
"13/07/2016","2:40:50 PM","Tiger","-25.56464283","153.068194","156","15","30"
"13/07/2016","2:41:11 PM","Tiger","-25.56470026","153.06816988","155.399993896484","15","4"
"13/07/2016","2:41:48 PM","Tiger","-25.56477789","153.06816918","155","15","30"
"13/07/2016","2:42:29 PM","Tiger","-25.56485011","153.0681969","151.399993896484","15","3.5"
"13/07/2016","2:44:10 PM","Tiger","-25.56511741","153.06832823","156.199996948242","15","3.5"
"13/07/2016","2:44:54 PM","Tiger","-25.56520241","153.06837675","158.600006103516","15","20"
"13/07/2016","2:45:18 PM","Tiger","-25.56525536","153.0683968","160.5","15","20"
"13/07/2016","2:45:44 PM","Tiger","-25.56530119","153.06842464","161","15","30"
"13/07/2016","2:46:04 PM","Tiger","-25.56536536","153.06846415","159.199996948242","15","0"
"13/07/2016","3:19:19 PM","Tiger","-25.57334842","153.07374111","153","11","0"
"13/07/2016","3:19:54 PM","Tiger","-25.5733737","153.07373984","153.899993896484","11","35"
"13/07/2016","3:20:16 PM","Tiger","-25.57337477","153.07374086","154.199996948242","11","4"
"13/07/2016","3:20:49 PM","Tiger","-25.5733753","153.07374083","154.199996948242","11","25"
"13/07/2016","3:21:46 PM","Tiger","-25.57337635","153.07374069","154.300003051758","11","4"
"13/07/2016","3:22:34 PM","Tiger","-25.57337664","153.07374086","154.300003051758","11","30"
"13/07/2016","3:23:17 PM","Tiger","-25.57337726","153.07374109","154.199996948242","11","30"
"13/07/2016","3:24:28 PM","Tiger","-25.57342026","153.07373673","157.800003051758","11","20"
"13/07/2016","3:24:32 PM","Tiger","-25.57342941","153.07373547","158.399993896484","11","30"
"13/07/2016","3:25:32 PM","Tiger","-25.57352526","153.07370383","151.399993896484","11","20"
"13/07/2016","3:25:56 PM","Tiger","-25.57353722","153.0736987","150.600006103516","11","20"
"13/07/2016","3:27:57 PM","Tiger","-25.57375339","153.07374927","151.399993896484","11","20"
"13/07/2016","3:29:13 PM","Tiger","-25.57399766","153.07379107","142.600006103516","11","35"
"13/07/2016","3:30:12 PM","Tiger","-25.57410439","153.07378163","148.899993896484","11","20"
"13/07/2016","3:31:35 PM","Tiger","-25.57413736","153.07380111","154.399993896484","11","25"
"13/07/2016","3:31:43 PM","Tiger","-25.5741565","153.07380827","156.899993896484","11","2"
"13/07/2016","3:31:51 PM","Tiger","-25.57416776","153.07381158","158.300003051758","11","2"
"13/07/2016","3:34:38 PM","Tiger","-25.57446427","153.07393506","160.300003051758","11","35"
"13/07/2016","3:34:42 PM","Tiger","-25.57446425","153.0739352","160.399993896484","11","35"
"13/07/2016","3:34:46 PM","Tiger","-25.57446429","153.07393524","160.399993896484","11","30"
"13/07/2016","3:35:33 PM","Tiger","-25.57464269","153.07391504","159.300003051758","11","20"
"13/07/2016","3:36:18 PM","Tiger","-25.57473087","153.0739446","164.399993896484","11","25"
"13/07/2016","3:36:21 PM","Tiger","-25.57473413","153.07392684","164.5","11","25"
"13/07/2016","3:36:23 PM","Tiger","-25.5747407","153.07391362","164.899993896484","11","30"
"13/07/2016","3:36:58 PM","Tiger","-25.57473627","153.07388872","158.800003051758","11","15"
"13/07/2016","3:37:11 PM","Tiger","-25.57476344","153.07388304","156.600006103516","11","30"
"13/07/2016","3:37:16 PM","Tiger","-25.57476747","153.07388787","158.300003051758","11","25"
"13/07/2016","3:37:19 PM","Tiger","-25.57476839","153.07389556","159.100006103516","11","10"
"13/07/2016","3:37:39 PM","Tiger","-25.57477578","153.07386976","156.899993896484","11","20"
"13/07/2016","3:39:20 PM","Tiger","-25.57485428","153.07385094","160.800003051758","11","2"
"13/07/2016","3:39:26 PM","Tiger","-25.57486971","153.07384248","161.399993896484","11","2"
"13/07/2016","3:40:53 PM","Tiger","-25.57507975","153.07381877","163.699996948242","11","25"
"13/07/2016","3:42:50 PM","Tiger","-25.57526077","153.07380943","162.699996948242","11","25"
"13/07/2016","3:43:23 PM","Tiger","-25.57526163","153.07380955","162.899993896484","11","30"
"13/07/2016","3:43:40 PM","Tiger","-25.57528903","153.07378258","165","11","1"
"13/07/2016","3:43:55 PM","Tiger","-25.57533563","153.07372229","159.399993896484","11","20"
"13/07/2016","3:46:59 PM","Tiger","-25.57582833","153.07365434","166.399993896484","11","2"
"13/07/2016","3:47:31 PM","Tiger","-25.57582852","153.07365443","166.399993896484","11","10"
