"Date","Time","Group Name","Latitude","Longitude","Altitude","Transect #","Hole Diameter"
"12/07/2016","1:13:31 PM","greenjjn","-25.59626827","153.08817142","45.7000007629395","",""
"12/07/2016","1:13:44 PM","greenjjn","-25.5962447","153.08812557","26.2999992370605","2","0"
"12/07/2016","1:35:51 PM","greenjjn","-25.59389177","153.08648156","63.2999992370605","2","0"
"12/07/2016","1:42:56 PM","greenjjn","-25.59018242","153.08512853","53.2999992370605","4","0"
"12/07/2016","2:05:30 PM","greenjjn","-25.58813966","153.08337798","49.9000015258789","4","20"
"12/07/2016","2:07:42 PM","greenjjn","-25.58777938","153.08355021","77.5999984741211","4","0"
"12/07/2016","2:13:50 PM","greenjjn","-25.58489044","153.08162611","96","6","0"
"12/07/2016","2:22:11 PM","greenjjn","-25.58502162","153.08170202","99.0999984741211","6","25"
"12/07/2016","2:40:41 PM","greenjjn","-25.58288889","153.08036497","146","6","0"
"12/07/2016","2:45:38 PM","greenjjn","-25.58048505","153.07824327","158.100006103516","8","0"
"12/07/2016","2:48:30 PM","greenjjn","-25.58010046","153.07800411","174.699996948242","8","40"
"12/07/2016","3:01:25 PM","greenjjn","-25.57800914","153.07600047","195.300003051758","8","0"
"12/07/2016","1:21:49 PM","greenthumb","-25.59952128","153.09019193","54.7999992370605","1","0"
"12/07/2016","1:22:10 PM","greenthumb","-25.59951043","153.09019419","55.9000015258789","1","20"
"12/07/2016","1:47:53 PM","greenthumb","-25.5979887","153.08969473","52.2999992370605","1","32"
"12/07/2016","1:56:23 PM","greenthumb","-25.59629402","153.08835154","65.5999984741211","1","0"
"12/07/2016","2:01:49 PM","greenthumb","-25.59377433","153.08650806","66.6999969482422","3","0"
"12/07/2016","2:10:21 PM","greenthumb","-25.59276887","153.08613125","79.4000015258789","3","25"
"12/07/2016","2:13:17 PM","greenthumb","-25.59240016","153.08587028","120.300003051758","3","18"
"12/07/2016","2:15:50 PM","greenthumb","-25.59206655","153.08574395","86.3000030517578","3","22"
"12/07/2016","2:27:01 PM","greenthumb","-25.59064187","153.08467867","75.6999969482422","3","17"
"12/07/2016","2:27:07 PM","greenthumb","-25.59062447","153.08467998","79.1999969482422","3","0"
"12/07/2016","2:31:51 PM","greenthumb","-25.5877854","153.0835434","77.6999969482422","5","0"
"12/07/2016","2:51:28 PM","greenthumb","-25.58514401","153.08169811","119.300003051758","5","20"
"12/07/2016","2:51:48 PM","greenthumb","-25.58514517","153.08169775","119.400001525879","5","0"
"12/07/2016","2:57:30 PM","greenthumb","-25.58286753","153.08032742","141.399993896484","7","0"
"12/07/2016","3:03:46 PM","greenthumb","-25.58211836","153.07988353","150.199996948242","7","19"
"12/07/2016","3:11:30 PM","greenthumb","-25.58146326","153.07908526","160.5","7","23"
"12/07/2016","3:13:20 PM","greenthumb","-25.58131048","153.0790727","157.5","7","10"
"12/07/2016","3:13:55 PM","greenthumb","-25.58122075","153.07895465","159.800003051758","7","30"
"12/07/2016","3:15:09 PM","greenthumb","-25.58112952","153.07889596","167.699996948242","7","32"
"12/07/2016","3:17:10 PM","greenthumb","-25.58089026","153.07867327","160","7","25"
"12/07/2016","3:19:04 PM","greenthumb","-25.58073606","153.07854575","156.399993896484","7","42"
