"Date","Time","Group Name","Latitude","Longitude","Altitude","Transect #","Hole Diameter"
"19/07/2016","1:58:54 PM","judy","-25.57638428","153.0736175","169.600006103516","9","0"
"19/07/2016","2:03:51 PM","judy","","","","9","28"
"19/07/2016","2:04:22 PM","judy","","","","9","20"
"19/07/2016","2:04:40 PM","judy","-25.57643133","153.07356936","171.399993896484","9","15"
"19/07/2016","2:05:59 PM","judy","-25.57643617","153.07356237","171.600006103516","9","30"
"19/07/2016","2:06:42 PM","judy","-25.57643617","153.07356237","171.600006103516","9","18"
"19/07/2016","2:06:57 PM","judy","-25.57644074","153.07355649","171.5","9","20"
"19/07/2016","2:08:09 PM","judy","-25.5766831","153.07351407","174.800003051758","9","18"
"19/07/2016","2:08:26 PM","judy","-25.57668712","153.07349875","175.699996948242","9","30"
"19/07/2016","2:14:19 PM","judy","","","","9","18"
"19/07/2016","2:14:48 PM","judy","","","","9","30"
"19/07/2016","2:15:32 PM","judy","","","","9","30"
"19/07/2016","2:15:57 PM","judy","","","","9","28"
"19/07/2016","2:20:46 PM","judy","","","","9","20"
"19/07/2016","2:21:22 PM","judy","","","","9","30"
"19/07/2016","2:22:18 PM","judy","","","","9","17"
"19/07/2016","2:23:26 PM","judy","","","","9","25"
"19/07/2016","2:23:53 PM","judy","","","","9","33"
"19/07/2016","2:24:23 PM","judy","","","","9","25"
"19/07/2016","2:25:00 PM","judy","","","","9","30"
"19/07/2016","2:25:20 PM","judy","","","","9","28"
"19/07/2016","2:25:49 PM","judy","","","","9","18"
"19/07/2016","2:26:01 PM","judy","","","","9","28"
"19/07/2016","2:26:09 PM","judy","","","","9","27"
"19/07/2016","2:27:14 PM","judy","","","","9","17"
"19/07/2016","2:29:02 PM","judy","","","","9","28"
"19/07/2016","2:30:43 PM","judy","","","","9","20"
"19/07/2016","2:31:28 PM","judy","","","","9","23"
"19/07/2016","2:41:23 PM","judy","","","","7","0"
"19/07/2016","2:41:56 PM","judy","","","","","30"
"19/07/2016","2:42:16 PM","judy","-25.58054601","153.07847942","179.100006103516","7","30"
"19/07/2016","2:42:58 PM","judy","","","","7","25"
"19/07/2016","2:43:25 PM","judy","","","","7","25"
"19/07/2016","2:44:00 PM","judy","","","","7","20"
"19/07/2016","2:44:44 PM","judy","-25.58065479","153.07845439","169","6","22"
"19/07/2016","2:45:33 PM","judy","","","","6","26"
"19/07/2016","2:48:21 PM","judy","","","","6","30"
"19/07/2016","2:49:19 PM","judy","","","","6","20"
"19/07/2016","2:51:10 PM","judy","","","","6","25"
"19/07/2016","2:54:22 PM","judy","","","","6","20"
"19/07/2016","3:19:08 PM","judy","","","","5","0"
"19/07/2016","3:25:08 PM","judy","","","","5","20"
"19/07/2016","3:26:02 PM","judy","","","","5","20"
"19/07/2016","3:27:06 PM","judy","-25.58854532","153.08341053","21.2999992370605","5","12"
"19/07/2016","3:28:27 PM","judy","-25.58857013","153.08380558","70.8000030517578","5","10"
"19/07/2016","3:28:32 PM","judy","-25.58856994","153.08380737","71","5","15"
"19/07/2016","3:29:44 PM","judy","-25.58856969","153.08381678","72.5","5","24"
"19/07/2016","3:32:45 PM","judy","","","","5","10"
"19/07/2016","3:32:51 PM","judy","-25.58856427","153.08448608","164.100006103516","5","10"
"19/07/2016","3:43:05 PM","judy","","","","5","10"
"19/07/2016","3:43:15 PM","judy","","","","5","10"
